genotype,cell_group,timepoint.bin.n,cells_per_embryo,cells_per_embryo_cv,cells_per_embryo_cv.stderr,num_embryos,total_cells,model_fit,model_sd,model_fit_lower,model_fit_upper,expected_cv,cv_test_stat,cv_z_stat_p_val,cv_rel
32C,differentiating neuron (hindbrain),1,25.0840882352941,0.295264037501666,0.0270668099404259,4046,16421,0.345369572825912,0.0953215479156538,0.154726476994604,0.536012668657219,0.345369572825912,-0.505657304255018,0.693451377026875,0.854921975568757
32C,differentiating neuron (hindbrain),2,37.3755833333333,0.279515680661174,0.0256231604357916,2856,16421,0.36365712020394,0.126135111125534,0.111386897952872,0.615927342455008,0.36365712020394,-0.653721968010471,0.743354526287549,0.768624248315063
32C,differentiating neuron (hindbrain),3,30.9182580645161,0.27544390429905,0.0252499013086521,3689,16421,0.400261812826254,0.17611572471478,0.0480303633966933,0.752493262255814,0.400261812826254,-0.701553027220203,0.75852102294264,0.68815933839438
32C,differentiating neuron (hindbrain),4,25.4706,0.264558506782426,0.0242520385543478,3570,16421,0.441941426693882,0.24684163924453,-0.0517418517951787,0.935624705182942,0.441941426693882,-0.715166759245837,0.76274699683493,0.598627987336605
32C,differentiating neuron 1,1,40.0619705882353,0.266038676876719,0.0243877255244262,4046,20629,0.333383843433902,0.09132817938698,0.150727484659942,0.516040202207862,0.333383843433902,-0.712433991441354,0.761901963523299,0.797995110190348
32C,differentiating neuron 1,2,47.4881666666667,0.236556427955111,0.0216850921968813,2856,20629,0.358780038762889,0.124088357320863,0.110603324121162,0.606956753404615,0.358780038762889,-0.970268147724562,0.834043575073005,0.659335532631031
32C,differentiating neuron 1,3,37.0959677419355,0.238212336099241,0.0218368890475754,3689,20629,0.395185259389523,0.173412896886321,0.0483594656168808,0.742011053162164,0.395185259389523,-0.898104933184414,0.815435195369892,0.602786491751309
32C,differentiating neuron 1,4,32.5367,0.234951912715474,0.0215380065260179,3570,20629,0.433101281977084,0.240871718282411,-0.0486421545877385,0.914844718541906,0.433101281977084,-0.819365382874277,0.793711010397574,0.5424872252581
32C,differentiating neuron 2,1,11.8571764705882,0.317162058123232,0.0290741981995941,4046,6944,0.383754096454887,0.108304745789221,0.167144604876446,0.600363588033328,0.383754096454887,-0.593833087914886,0.723688121947364,0.826472110794827
32C,differentiating neuron 2,2,15.925,0.394960697082896,0.0362059877401106,2856,6944,0.396079795932029,0.139886942764493,0.116305910403043,0.675853681461015,0.396079795932029,-0.00774481782674303,0.503089704397184,0.997174562144733
32C,differentiating neuron 2,3,13.4886129032258,0.32713844298081,0.0299887319000658,3689,6944,0.44193359812592,0.198570666309013,0.0447922655078945,0.839074930743946,0.44193359812592,-0.571625272404993,0.716212064875011,0.740243431067667
32C,differentiating neuron 2,4,10.8560666666667,0.357741040529922,0.0327940674179088,3570,6944,0.500910937762145,0.287294711473646,-0.0736784851851478,1.07550036070944,0.500910937762145,-0.495122869698679,0.689743304325896,0.714180932299374
32C,dorsal spinal cord neuron,1,5.6245,0.627986793669301,0.0575674549910214,4046,3195,0.478891055671514,0.141641141466169,0.195608772739176,0.762173338603852,0.478891055671514,0.975164855747762,0.164739245954013,1.31133539921459
