oligo_tag,timepoint,fake,Size_Factor,batch,sample,temp,pseudostage,umap_1,umap_2
reference-42-GAP18-42hpf_P10_C12,42,FALSE,0.767183284230517,GAP18,GAP18,28C,29.8091381959393,-6.19611113622508,8.45622774193716
reference-46-GAP18-46hpf_P2_A12,46,FALSE,0.844825929863486,GAP18,GAP18,28C,32.1934736746129,-4.82402413442454,10.9570030791564
reference-42-GAP18-42hpf_P10_E10,42,FALSE,0.940954919694779,GAP18,GAP18,28C,33.3552174333819,-4.5176076228889,12.2683939559264
reference-46-GAP18-46hpf_P2_B11,46,FALSE,0.874404080580807,GAP18,GAP18,28C,35.324904678257,-3.34622138097605,13.0235399825377
reference-40-GAP18-40hpf_P10_A1,40,FALSE,0.630384337162907,GAP18,GAP18,28C,30.5023094565032,-5.86938613012156,9.19607015679312
reference-40-GAP18-40hpf_P10_C5,40,FALSE,0.743151036772694,GAP18,GAP18,28C,26.0752210632421,-6.63485568120799,5.32364460061026
reference-46-GAP18-46hpf_P2_D10,46,FALSE,0.626687068323242,GAP18,GAP18,28C,32.1442574989524,-4.69560187414012,11.0513996703429
reference-40-GAP18-40hpf_P10_B4,40,FALSE,0.473250411477139,GAP18,GAP18,28C,29.8705085260767,-5.78800623967967,8.80417581627798
reference-42-GAP18-42hpf_P10_A8,42,FALSE,0.865160908481644,GAP18,GAP18,28C,33.5856873275946,-4.48452609136424,12.4205174071593
reference-44-GAP18-44hpf_P2_G1,44,FALSE,0.724664692574368,GAP18,GAP18,28C,33.293066682792,-4.33232491567454,11.9163984877868
reference-42-GAP18-42hpf_P10_F8,42,FALSE,0.831885488924657,GAP18,GAP18,28C,29.6535348958839,-5.93996565893016,8.26425643990469
reference-40-GAP18-40hpf_P10_E4,40,FALSE,0.63223297158274,GAP18,GAP18,28C,25.7581622832457,-6.69374268606028,4.88898559639883
reference-44-GAP18-44hpf_P2_F6,44,FALSE,0.739453767933029,GAP18,GAP18,28C,33.2620044152984,-4.25239365651927,11.829680882196
reference-44-GAP18-44hpf_P2_C6,44,FALSE,0.876252715000639,GAP18,GAP18,28C,32.5544866478084,-4.74097722127757,11.3790859801574
reference-46-GAP18-46hpf_P2_F7,46,FALSE,0.924317209916286,GAP18,GAP18,28C,35.4326250286487,-3.09543841436228,12.879145107965
reference-42-GAP18-42hpf_P10_E7,42,FALSE,0.95574399505344,GAP18,GAP18,28C,29.64667331647,-6.01261895253978,8.36740013192129
reference-44-GAP18-44hpf_P2_C5,44,FALSE,0.733907864673531,GAP18,GAP18,28C,30.0003808604129,-6.00719874456248,9.14771505425406
reference-44-GAP18-44hpf_P2_G2,44,FALSE,0.700632445116545,GAP18,GAP18,28C,32.2685848405558,-4.9084071452888,10.8539690596862
reference-44-GAP18-44hpf_P2_C1,44,FALSE,0.512071734293623,GAP18,GAP18,28C,30.042180236123,-6.10331147268138,8.89856668541861
reference-42-GAP18-42hpf_P10_G7,42,FALSE,0.656265219040563,GAP18,GAP18,28C,26.190504887751,-6.41497748449168,5.46085830758047
reference-46-GAP18-46hpf_P2_A9,46,FALSE,0.872555446160974,GAP18,GAP18,28C,33.3260829223215,-4.5584520633491,12.1612829787536
reference-44-GAP18-44hpf_P2_E5,44,FALSE,0.824490951245327,GAP18,GAP18,28C,32.3130581924814,-4.59945910528025,11.0879368407531
reference-46-GAP18-46hpf_P2_H8,46,FALSE,1.0555702537244,GAP18,GAP18,28C,35.7460349763942,-3.29450457647166,11.8368229491515
reference-40-GAP18-40hpf_P10_A2,40,FALSE,0.589714379926591,GAP18,GAP18,28C,29.6179042486547,-6.02618067815623,8.42150875161124
reference-40-GAP18-40hpf_P10_A3,40,FALSE,0.807853241466834,GAP18,GAP18,28C,30.0491058810515,-6.22698968007884,8.0966400725646
reference-40-GAP18-40hpf_P10_H4,40,FALSE,0.408548206782999,GAP18,GAP18,28C,29.9982913045667,-6.08257811620555,8.17817588875723
