oligo_tag,timepoint,temp,Size_Factor,sample,pseudostage,ref_pseudostage,mean.nn.time,mean.nn.pseudostage,umap_1,umap_2
HF4-30-HF4-30hpf-34C_P9_E11,30,34C,0.995331263096443,HF4,16.9862859193523,17.6103960529821,35.92,24.7070336002734,-6.29434633255005,2.35786557197571
HF4-24-HF4-24hpf-32C_P2_C7,24,32C,0.998892376739007,HF4,0.00366917501432429,6.12813514819241,26.76,11.0281832126627,-3.50836181640625,-5.54430913925171
HF4-24-HF4-24hpf-34C_P2_E12,24,34C,1.00067293356029,HF4,2.54684386443474,6.12813514819241,28.56,13.9727825578383,-4.06528282165527,-4.44625520706177
HF4-30-HF4-30hpf-34C_P9_A8,30,34C,0.997111819917725,HF4,16.9863727624232,17.6103960529821,35.76,23.4870829035016,-6.32530164718628,2.55357694625855
HF4-24-HF4-24hpf-34C_P2_G9,24,34C,1.00245349038157,HF4,1.73913641670159,10.3425061575895,30.88,17.5765287028865,-4.48623085021973,-3.67433571815491
HF4-30-HF4-30hpf-32C_P9_A6,30,32C,1.00423404720285,HF4,16.9864596054941,16.0565607406917,34.72,22.2388186075544,-5.03436994552612,-1.39029097557068
HF4-36-HF4-36hpf-34C_P12_E9,36,34C,1.00423404720285,HF4,12.7848863255412,23.867036081384,40.08,27.6238298321849,-6.3545994758606,5.16233968734741
HF4-30-HF4-30hpf-34C_P9_A9,30,34C,1.00156321197093,HF4,16.9865464485651,21.0089547790769,37.12,24.9999318107464,-6.13370132446289,2.74462532997131
HF4-30-HF4-30hpf-32C_P9_B5,30,32C,0.995331263096443,HF4,14.4637549841813,17.6103960529821,35.44,23.4625634749898,-5.73937606811523,-0.0139492750167847
HF4-30-HF4-30hpf-34C_P9_F8,30,34C,1.00245349038157,HF4,16.986633291636,23.276328538259,36.08,24.2525018416474,-6.16884851455689,2.63121867179871
HF4-36-HF4-36hpf-34C_P12_H10,36,34C,1.00067293356029,HF4,12.7849731686121,23.8670261891845,40.08,26.9760600777827,-6.28049802780151,3.72882604598999
HF4-24-HF4-24hpf-34C_P2_E8,24,34C,0.998892376739007,HF4,0.00375601808525339,6.12074984439379,25.92,9.54256818505567,-3.70624327659607,-5.07618618011475
HF4-30-HF4-30hpf-32C_P9_A4,30,32C,0.990879871043239,HF4,14.9130773573193,23.3489454833187,35.76,25.889565392257,-6.66193962097168,2.664546251297
HF4-24-HF4-24hpf-32C_P2_A4,24,32C,0.999782655149648,HF4,0.853273923081365,6.10882657435307,25.04,8.19921096570562,-3.21520042419434,-5.7988429069519
